Субъекты РФ,"высшего образования (бакалавриат, специалитет, магистратура)","подготовки квалифициро-ванных рабочих, служащих",подготовки специалистов среднего звена,профессиональ-ного обучения,дополнительных профессиональ-ных программ
   Белгородская область,3,0,3,3,3
   Брянская область,5,0,2,1,3
   Владимирская область,2,1,2,2,2
   Воронежская область,10,2,6,3,9
   Ивановская область,4,0,0,1,4
   Калужская область,4,0,0,0,2
   Костромская область,2,2,2,2,2
   Курская область,6,2,2,2,7
   Липецкая область,3,0,2,0,3
   Московская область,14,2,7,3,14
   Орловская область,1,1,1,1,2
   Рязанская область,3,0,2,0,4
   Смоленская область,4,0,1,0,5
   Тамбовская область,2,0,0,0,1
   Тверская область,4,0,0,0,3
   Тульская область,5,0,0,0,4
   Ярославская область,5,0,2,0,5
   г.Москва,80,4,16,10,81
   Республика Карелия,1,0,0,1,1
   Республика Коми,3,1,2,1,3
   Архангельская область,2,1,2,1,2
   Вологодская область,3,1,1,1,3
   Калининградская область,1,0,1,0,3
   Ленинградская область,0,0,0,0,0
   Мурманская область,0,0,0,0,1
   Новгородская область,1,1,1,1,1
   Псковская область,1,0,1,1,1
   г.Санкт-Петербург,36,3,16,10,35
   Ненецкий автономный округ,0,0,0,0,0
   Республика Адыгея,2,1,2,1,2
   Республика Калмыкия,0,0,0,0,1
   Краснодарский край,6,0,3,0,9
   Астраханская область,2,1,1,1,3
   Волгоградская область,9,1,4,3,9
   Ростовская область,5,1,3,2,5
   Республика Крым,1,1,1,1,1
   г.Севастополь,0,0,0,0,1
   Республика Дагестан,8,2,3,4,5
   Республика Ингушетия,0,0,0,0,0
   Кабардино-Балкарская Республика,2,0,1,1,2
   Карачаево-Черкесская Республика,0,0,0,0,1
   Республика Северная Осетия - Алания,3,1,2,1,3
   Чеченская Республика,2,0,0,0,0
   Ставропольский край,5,0,2,0,6
   Республика Башкортостан,6,1,1,0,7
   Республика Марий Эл,1,0,1,1,3
   Республика Мордовия,2,0,2,0,2
   Республика Татарстан,13,1,4,0,12
   Удмуртская Республика,4,1,2,1,7
   Чувашская Республика,3,0,0,1,4
   Пермский край,7,1,2,1,7
   Кировская область,2,0,1,2,4
   Нижегородская область,5,3,3,3,7
   Оренбургская область,2,1,1,1,4
   Пензенская область,4,0,1,1,3
   Самарская область,11,3,6,4,12
   Саратовская область,3,0,0,0,3
   Ульяновская область,4,0,2,2,4
   Курганская область,3,1,1,2,3
   Свердловская область,11,1,3,3,13
   Тюменская область,5,0,1,1,5
   Челябинская область,7,0,4,1,7
   Ханты-Мансийский автономный округ,3,0,0,1,4
   Ямало-Ненецкий автономный округ,0,0,0,0,0
   Республика Алтай,0,0,0,0,1
   Республика Бурятия,3,1,2,2,3
   Республика Тыва,1,0,1,0,1
   Республика Хакасия,0,0,0,0,1
   Алтайский край,6,0,2,1,6
   Забайкальский край,2,0,1,1,2
   Красноярский край,5,2,3,3,6
   Иркутская область,8,2,6,5,9
   Кемеровская область,6,0,1,1,5
   Новосибирская область,12,2,4,2,14
   Омская область,10,0,4,1,10
   Томская область,7,2,4,2,6
   Республика Саха (Якутия),4,1,3,2,3
   Камчатский край,0,0,0,0,1
   Приморский край,4,0,3,1,6
   Хабаровский край,7,2,3,3,7
   Амурская область,1,0,0,0,3
   Магаданская область,1,0,0,0,1
   Сахалинская область,1,1,1,1,1
