Субъекты РФ,"Количество ПК – всего,  штук",всего,в % к общему числу,из гр. 3 доступных для использования студентами в свободное от основных занятий время,ноутбуки и другие портатив-ные ПК (кроме планшет-ных),в % к общему числу,планшет-ные компью-теры,в % к общему числу,находящих-ся в составе ЛВС,в % к общему числу,имеющих доступ к Интернету,в % к общему числу,поступив-ших в отчетном году,"Число самостоя-тельных организа-ций ВО, имеющих ЛВС, единиц
"
   Белгородская область,13079,10501,"80,3",8118,1378,"10,5",87,"0,7",11873,"90,8",11873,"90,8",637,5
   Брянская область,4680,2959,"63,2",1964,494,"10,6",43,"0,9",3865,"82,6",3824,"81,7",254,5
   Владимирская область,5685,3674,"64,6",1446,735,"12,9",37,"0,7",5392,"94,8",5351,"94,1",277,3
   Воронежская область,15025,10834,"72,1",3736,1883,"12,5",208,"1,4",13634,"90,7",13643,"90,8",659,14
   Ивановская область,7470,5216,"69,8",2495,1134,"15,2",112,"1,5",6168,"82,6",6352,85,569,6
   Калужская область,4075,3030,"74,4",1881,489,12,33,"0,8",3875,"95,1",3872,95,181,3
   Костромская область,2773,1374,"49,5",554,247,"8,9",9,"0,3",2773,100,2773,100,99,2
   Курская область,6583,4838,"73,5",3257,1428,"21,7",42,"0,6",6422,"97,6",6422,"97,6",315,8
   Липецкая область,3955,2549,"64,5",1343,590,"14,9",21,"0,5",3783,"95,7",3803,"96,2",424,3
   Московская область,20612,12948,"62,8",5037,3515,"17,1",190,"0,9",18840,"91,4",18776,"91,1",1490,22
   Орловская область,6243,4272,"68,4",1923,705,"11,3",68,"1,1",6017,"96,4",5745,92,323,4
   Рязанская область,7946,5753,"72,4",4807,1212,"15,3",32,"0,4",5651,"71,1",7286,"91,7",478,6
   Смоленская область,3891,2839,73,1595,601,"15,4",28,"0,7",3408,"87,6",3252,"83,6",136,5
   Тамбовская область,6795,5238,"77,1",2198,825,"12,1",105,"1,5",5936,"87,4",5936,"87,4",395,4
   Тверская область,5221,3703,"70,9",2470,790,"15,1",48,"0,9",4292,"82,2",4654,"89,1",226,6
   Тульская область,5818,4336,"74,5",3284,707,"12,2",60,1,5258,"90,4",4953,"85,1",365,6
   Ярославская область,8080,5095,"63,1",2361,1000,"12,4",72,"0,9",7466,"92,4",7296,"90,3",617,8
   г.Москва,205529,123261,60,42342,38060,"18,5",3005,"1,5",179203,"87,2",178773,87,18502,138
   Республика Карелия,3856,2604,"67,5",1459,410,"10,6",4,"0,1",3497,"90,7",3497,"90,7",240,2
   Республика Коми,4192,2025,"48,3",1170,841,"20,1",32,"0,8",3307,"78,9",3307,"78,9",192,3
   Архангельская область,5532,4285,"77,5",663,1410,"25,5",85,"1,5",4938,"89,3",4939,"89,3",66,4
   Вологодская область,5877,3547,"60,4",2806,787,"13,4",78,"1,3",5667,"96,4",5661,"96,3",220,3
   Калининградская область,6858,3918,"57,1",902,965,"14,1",51,"0,7",6034,88,5983,"87,2",228,3
   Ленинградская область,1658,1355,"81,7",686,210,"12,7",22,"1,3",1418,"85,5",1468,"88,5",82,1
   Мурманская область,2904,1587,"54,6",631,490,"16,9",17,"0,6",2754,"94,8",2424,"83,5",257,3
   Новгородская область,2710,2076,"76,6",782,397,"14,6",50,"1,8",2614,"96,5",2614,"96,5",464,1
   Псковская область,3038,1391,"45,8",691,469,"15,4",4,"0,1",2928,"96,4",2928,"96,4",179,3
   г.Санкт-Петербург,93808,54754,"58,4",28080,13961,"14,9",1267,"1,4",83863,"89,4",83633,"89,2",7033,58
   Ненецкий автономный округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Республика Адыгея,1950,1035,"53,1",1035,84,"4,3",14,"0,7",1838,"94,3",1841,"94,4",109,2
   Республика Калмыкия,1278,690,54,690,217,17,0,0,1278,100,1278,100,105,1
   Краснодарский край,18762,13733,"73,2",5874,2768,"14,8",270,"1,4",16003,"85,3",14952,"79,7",1579,17
   Астраханская область,6236,4687,"75,2",1459,908,"14,6",56,"0,9",6092,"97,7",5903,"94,7",434,6
   Волгоградская область,14736,8290,"56,3",4390,1834,"12,4",113,"0,8",12994,"88,2",12879,"87,4",1103,11
   Ростовская область,33027,22071,"66,8",13340,4984,"15,1",229,"0,7",29738,90,28568,"86,5",1640,12
   Республика Крым,7666,4919,"64,2",1866,725,"9,5",43,"0,6",6493,"84,7",6818,"88,9",1457,4
   г.Севастополь,3387,1628,"48,1",1235,252,"7,4",29,"0,9",3174,"93,7",3020,"89,2",188,1
   Республика Дагестан,9937,6766,"68,1",4649,2114,"21,3",129,"1,3",7996,"80,5",7985,"80,4",615,13
   Республика Ингушетия,836,750,"89,7",260,50,6,9,"1,1",562,"67,2",559,"66,9",133,2
   Кабардино-Балкарская Республика,4037,2938,"72,8",1586,350,"8,7",26,"0,6",3672,91,3672,91,289,4
   Карачаево-Черкесская Республика,1728,1329,"76,9",1313,158,"9,1",7,"0,4",1612,"93,3",1622,"93,9",58,2
   Республика Северная Осетия - Алания,4944,2466,"49,9",1581,623,"12,6",8,"0,2",3919,"79,3",3882,"78,5",132,6
   Чеченская Республика,4149,3182,"76,7",3132,421,"10,1",9,"0,2",4032,"97,2",3965,"95,6",528,3
   Ставропольский край,15652,10650,68,6438,2500,16,349,"2,2",11555,"73,8",11550,"73,8",1250,13
   Республика Башкортостан,24832,18536,"74,6",11388,3644,"14,7",366,"1,5",16517,"66,5",22990,"92,6",1819,10
   Республика Марий Эл,4330,3215,"74,2",1687,633,"14,6",135,"3,1",4023,"92,9",4086,"94,4",318,3
   Республика Мордовия,6575,4305,"65,5",3302,741,"11,3",90,"1,4",5828,"88,6",5827,"88,6",270,2
   Республика Татарстан,36698,22549,"61,4",7506,6414,"17,5",619,"1,7",32370,"88,2",32630,"88,9",1915,21
   Удмуртская Республика,9075,6292,"69,3",2508,1560,"17,2",79,"0,9",8153,"89,8",7971,"87,8",425,7
   Чувашская Республика,5109,3948,"77,3",1828,734,"14,4",84,"1,6",4849,"94,9",4759,"93,1",589,4
   Пермский край,16138,10264,"63,6",5696,2400,"14,9",241,"1,5",12250,"75,9",12182,"75,5",590,10
   Кировская область,5812,4683,"80,6",1036,752,"12,9",30,"0,5",4922,"84,7",5005,"86,1",219,4
   Нижегородская область,19377,12398,64,4568,3185,"16,4",182,"0,9",16944,"87,4",16642,"85,9",1806,10
   Оренбургская область,8717,6565,"75,3",2920,1240,"14,2",36,"0,4",6751,"77,4",7311,"83,9",542,6
   Пензенская область,5954,3964,"66,6",2248,542,"9,1",11,"0,2",4655,"78,2",4655,"78,2",254,5
   Самарская область,20471,14969,"73,1",8630,2404,"11,7",111,"0,5",19821,"96,8",19634,"95,9",1501,15
   Саратовская область,18033,11701,"64,9",7339,1721,"9,5",161,"0,9",14833,"82,3",15097,"83,7",720,7
   Ульяновская область,8201,4955,"60,4",3263,1071,"13,1",70,"0,9",7344,"89,6",7299,89,525,5
   Курганская область,4079,3426,84,3157,546,"13,4",81,2,4035,"98,9",4035,"98,9",207,3
   Свердловская область,33466,23685,"70,8",10058,5497,"16,4",484,"1,4",29313,"87,6",29180,"87,2",1926,21
   Тюменская область,13010,8091,"62,2",3208,1414,"10,9",69,"0,5",12597,"96,8",12597,"96,8",1425,5
   Челябинская область,23809,15914,"66,8",8926,4430,"18,6",140,"0,6",21574,"90,6",21579,"90,6",1647,13
   Ханты-Мансийский автономный округ,6102,3671,"60,2",981,783,"12,8",14,"0,2",5961,"97,7",5961,"97,7",1118,5
   Ямало-Ненецкий автономный округ,293,182,"62,1",131,21,"7,2",1,"0,3",242,"82,6",242,"82,6",2,0
   Республика Алтай,887,490,"55,2",240,189,"21,3",22,"2,5",715,"80,6",610,"68,8",48,1
   Республика Бурятия,5549,2712,"48,9",2677,869,"15,7",117,"2,1",4231,"76,2",4231,"76,2",224,4
   Республика Тыва,1666,1523,"91,4",1397,145,"8,7",15,"0,9",1613,"96,8",1643,"98,6",61,1
   Республика Хакасия,2635,2032,"77,1",1102,181,"6,9",10,"0,4",2194,"83,3",2363,"89,7",159,1
   Алтайский край,13878,10660,"76,8",7362,2054,"14,8",150,"1,1",13210,"95,2",12897,"92,9",837,7
   Забайкальский край,6111,3808,"62,3",2792,990,"16,2",155,"2,5",5663,"92,7",6098,"99,8",294,2
   Красноярский край,21788,17069,"78,3",11996,2827,13,402,"1,8",21423,"98,3",21211,"97,4",1047,8
   Иркутская область,16061,9366,"58,3",4700,1948,"12,1",208,"1,3",14614,91,14615,91,1647,10
   Кемеровская область,9336,6356,"68,1",2735,1407,"15,1",72,"0,8",8507,"91,1",8314,"89,1",691,6
   Новосибирская область,27411,17114,"62,4",8544,4210,"15,4",388,"1,4",22829,"83,3",22330,"81,5",1368,16
   Омская область,16074,10802,"67,2",5214,2539,"15,8",77,"0,5",14535,"90,4",14280,"88,8",1007,11
   Томская область,24254,17008,"70,1",5822,3442,"14,2",470,"1,9",23538,97,23068,"95,1",1086,7
   Республика Саха (Якутия),6426,4331,"67,4",1444,1981,"30,8",342,"5,3",6147,"95,7",6258,"97,4",316,6
   Камчатский край,1350,991,"73,4",511,186,"13,8",0,0,1075,"79,6",938,"69,5",66,2
   Приморский край,16121,7419,46,2692,3936,"24,4",181,"1,1",15416,"95,6",15059,"93,4",992,8
   Хабаровский край,13654,8815,"64,6",6601,4550,"33,3",92,"0,7",12146,89,12105,"88,7",379,9
   Амурская область,4489,3542,"78,9",2662,1509,"33,6",45,1,4009,"89,3",3752,"83,6",180,4
   Магаданская область,927,204,22,23,57,"6,1",0,0,603,65,603,65,1,1
   Сахалинская область,1051,606,"57,7",465,77,"7,3",3,"0,3",987,"93,9",987,"93,9",5,1
