,2012 г.,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.
643 Российская Федерация,692743.7,552636.8,467044.6,494649.7,503589.48,582903.84,498552.39
030 Центральный федеральный округ,271776.59,122534.4,111405.5,145117.5,113336.83,116918.34,115468.14
14000000000 Белгородская область,1400.7,2494.8,10527.0,12281.6,8733.48,7195.72,6571.11
14401000000 Белгород,,,,,,5226.08,5226.0
15000000000 Брянская область,480.8,1585.1,1027.4,168.2,138.89,338.39,293.1
15401000000 Брянск,,,,,,,81.09
17000000000 Владимирская область,2895.09,5991.2,2841.6,1820.99,9557.84,1809.1,2313.33
17401000000 Владимир,,,,,,976.89,1043.1
20000000000 Воронежская область,768.5,2534.4,1078.8,4061.6,1858.44,1941.43,2031.47
20401000000 Воронеж,,,,,,205.2,671.2
24000000000 Ивановская область,5070.6,3972.49,3035.3,6544.6,1457.62,1114.25,507.16
29000000000 Калужская область,370.69,25.0,0.0,5099.7,0.0,,
34000000000 Костромская область,4573.5,4152.5,7769.9,6706.8,5986.18,8114.82,10097.68
34401000000 Кострома,,,,,,8003.42,9915.58
38000000000 Курская область,10970.1,3326.4,1358.6,843.59,763.97,593.19,261.79
38401000000 Курск,,,,,,390.0,
42000000000 Липецкая область,1261.4,5336.0,5958.4,2632.4,13192.0,1410.5,61.99
42401000000 Липецк,,,,,,1283.4,10.0
46000000000 Московская область,23838.9,17712.4,25002.7,22249.1,16698.58,14623.42,23393.51
54000000000 Орловская область,1042.9,818.7,559.99,182.5,115.88,86.47,710.03
57253557000 Орел,,,,,,8.3,663.34
61000000000 Рязанская область,5900.1,1172.59,1852.0,863.5,3359.9,1666.3,271.7
66000000000 Смоленская область,1227.8,2220.0,420.2,966.29,372.49,165.0,20.3
68000000000 Тамбовская область,606.7,9411.1,1398.6,6908.3,4101.53,6137.91,1652.96
68401000000 Тамбов,,,,,,5473.13,889.15
28000000000 Тверская область,720.2,690.79,6323.9,15584.8,4520.47,2594.3,1083.7
28401000000 Тверь,,,,,,1511.8,788.7
70000000000 Тульская область,2671.3,3776.4,15996.8,1013.0,1342.22,13461.22,11986.47
78000000000 Ярославская область,2354.3,365.5,288.29,1822.49,951.29,101.49,
45000000000 Город Москва столица Российской Федерации город федерального значения,205623.0,56949.0,25966.0,55368.0,40186.0,55564.8,54211.8
031 Северо-Западный федеральный округ,37498.4,17634.59,26189.2,35250.9,79019.92,69875.38,36744.19
86000000000 Республика Карелия,513.29,472.19,1025.7,14371.7,43768.8,43435.2,3128.4
86401000000 Петрозаводск,,,,,,43165.0,582.0
87000000000 Республика Коми,1898.7,5912.1,4959.5,2214.3,3111.66,694.82,5378.73
87401000000 Сыктывкар,,,,,,,0.14
11000000000 Архангельская область,11245.1,431.7,408.29,134.5,2187.8,734.59,6.5
11100000000 Ненецкий автономный округ (Архангельская область),0.0,0.0,0.0,0.0,38.19,11.59,
11001000000 Архангельская область (кроме Ненецкого автономного округа),,,408.29,134.5,2149.59,722.99,6.5
19000000000 Вологодская область,1247.3,1536.1,1120.0,555.19,740.27,524.21,470.91
27000000000 Калининградская область,5067.7,3603.8,1243.7,1970.7,7630.94,465.83,458.7
27401000000 Калининград,,,,,,90.13,56.71
41000000000 Ленинградская область,3850.1,1415.4,7879.49,774.2,716.4,393.79,319.19
47000000000 Мурманская область,3621.7,811.29,2976.8,4274.0,11137.54,5637.18,12437.37
47401000000 Мурманск,,,,,,509.99,700.71
49000000000 Новгородская область,0.0,355.99,3331.9,1728.0,1437.4,1561.33,728.05
58000000000 Псковская область,169.19,367.0,603.9,778.3,446.29,554.39,496.51
40000000000 Город Санкт-Петербург город федерального значения,9885.29,2729.0,2639.9,8450.0,7842.8,15874.0,13319.8
037 Южный федеральный округ (с 2010 года),107657.9,112646.1,82369.2,69678.5,,,
040 Южный федеральный округ (с 29.07.2016),,,,,65535.74,130045.35,68620.61
79000000000 Республика Адыгея (Адыгея),685.2,488.8,1625.0,395.5,482.6,390.28,185.18
85000000000 Республика Калмыкия,130.99,64.5,1.9,1.9,0.3,27.39,9.5
85401000000 Элиста,,,,,,8.3,9.5
35000000000 Республика Крым,,,861.9,1231.2,2064.37,12931.17,499.74
03000000000 Краснодарский край,36885.19,42615.6,24935.9,15250.2,31712.79,33328.45,8803.92
03401000000 Краснодар,,,,,,28201.54,4218.17
12000000000 Астраханская область,10525.2,11259.9,25175.0,6529.9,424.29,315.23,384.29
12401000000 Астрахань,,,,,,32.09,26.7
18000000000 Волгоградская область,16904.8,20350.59,17663.2,8722.79,6231.98,30880.6,4937.22
18401000000 Волгоград,,,,,,28166.39,720.0
60000000000 Ростовская область,42526.5,37866.7,12968.2,38778.19,23911.41,52172.21,53800.73
60401000000 Ростов-на-Дону,,,,,,45238.9,9909.5
67000000000 Город федерального значения Севастополь,,,112.99,0.0,707.99,,
038 Северо-Кавказский федеральный округ,13917.9,12350.3,11128.1,9485.4,17280.09,16569.2,12158.0
82000000000 Республика Дагестан,2416.5,441.49,1212.4,1613.6,160.99,16.0,20.0
26000000000 Республика Ингушетия*,0.0,0.0,0.0,0.0,0.0,,
83000000000 Кабардино-Балкарская Республика,947.49,1183.1,286.59,394.19,548.0,413.69,469.22
91000000000 Карачаево-Черкесская Республика,734.1,192.7,500.69,817.09,217.0,237.4,217.18
91401000000 Черкесск,,,,,,7.9,2.58
90000000000 Республика Северная Осетия-Алания,651.0,54.49,377.39,456.29,7691.2,2982.4,736.0
90401000000 Владикавказ,,,,,,2243.5,570.0
96000000000 Чеченская Республика*,5.0,4.3,4.3,4.7,6.3,7.5,8.0
07000000000 Ставропольский край,9163.8,10474.2,8746.7,6199.5,8656.6,12912.2,10707.59
07401000000 Ставрополь,,,,,,10476.0,7895.0
033 Приволжский федеральный округ,94182.7,64536.3,88265.4,102280.6,120528.42,112293.28,112895.16
80000000000 Республика Башкортостан,12108.7,8832.2,8320.0,10315.0,16798.71,26621.12,14922.09
80401000000 Уфа,,,,,,10361.79,8179.6
88000000000 Республика Марий Эл,2450.9,2091.9,1438.5,4599.7,1274.59,5414.4,1210.33
88401000000 Йошкар-Ола,,,,,,32.6,0.14
