,2012 г.,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.
15009.АГ Сухопутные территории Арктической зоны Российской Федерации,,,,724.0,4209.47,,
643 Российская Федерация,154388.4,194724.6,178614.0,171391.6,231043.76,211488.12,380645.11
030 Центральный федеральный округ,37994.2,88192.3,56531.5,62582.2,63625.93,30654.03,83332.85
14000000000 Белгородская область,115.59,283.49,668.2,8495.6,409.46,856.33,793.38
15000000000 Брянская область,242.39,5516.9,3803.4,41.7,16.39,21.29,28.3
17000000000 Владимирская область,2690.6,4168.8,2339.0,2374.6,1911.97,2025.35,1133.63
17401000000 Владимир,,,,,,1117.7,611.39
20000000000 Воронежская область,121.69,1252.4,1983.79,1804.8,3000.0,3237.23,4015.72
20401000000 Воронеж,,,,,,1981.29,3255.2
24000000000 Ивановская область,702.7,4614.5,8659.2,5147.7,350.5,271.53,179.19
29000000000 Калужская область,516.0,0.0,0.0,,0.0,,2.82
34000000000 Костромская область,2325.3,1396.5,5223.2,12085.8,7164.52,9250.58,16008.6
34401000000 Кострома,,,,,,9248.54,15993.08
38000000000 Курская область,884.5,1249.3,71.9,50.3,127.19,290.77,696.81
38401000000 Курск,,,,,,192.99,0.41
42000000000 Липецкая область,1318.2,585.09,215.69,311.99,16.0,10.49,20.0
42401000000 Липецк,,,,,,0.0,0.0
46000000000 Московская область,11598.7,14809.2,16386.3,16171.3,6356.16,5908.63,10525.9
54000000000 Орловская область,390.3,230.4,320.7,162.8,179.92,253.74,299.42
57253557000 Орел,,,,,,117.09,147.44
61000000000 Рязанская область,182.1,4758.1,174.0,1082.9,2287.0,1215.8,
66000000000 Смоленская область,8.19,20.2,72.69,387.8,50.09,1.2,0.2
68000000000 Тамбовская область,185.49,165.9,233.4,163.19,215.77,246.55,1108.44
68401000000 Тамбов,,,,,,0.0,789.57
28000000000 Тверская область,214.39,432.8,13711.5,2402.9,6943.53,3236.93,1426.11
28401000000 Тверь,,,,,,1550.93,454.76
70000000000 Тульская область,232.9,137.1,816.49,528.29,5108.0,3037.77,2807.0
70401000000 Тула,,,,,,,0.0
78000000000 Ярославская область,948.09,145.59,0.0,70.49,337.0,135.0,0.4
45000000000 Город Москва столица Российской Федерации город федерального значения,15317.0,48426.0,1852.0,11300.0,29152.4,654.79,44286.9
031 Северо-Западный федеральный округ,11456.5,10466.9,6400.3,6384.0,21528.33,44360.94,57067.54
86000000000 Республика Карелия,114.99,73.79,118.49,3658.0,12348.4,22860.3,2253.9
86401000000 Петрозаводск,,,,,,22697.0,283.0
87000000000 Республика Коми,1706.9,807.2,1029.4,893.2,1778.8,1844.35,1531.98
87401000000 Сыктывкар,,,,,,0.0,0.03
11000000000 Архангельская область,403.5,139.99,34.0,33.7,2014.0,2.0,
11100000000 Ненецкий автономный округ (Архангельская область),0.0,0.0,0.0,,,,
11001000000 Архангельская область (кроме Ненецкого автономного округа),,,34.0,33.7,2014.0,2.0,
19000000000 Вологодская область,727.99,4628.4,3375.8,288.79,815.61,121.1,158.69
27000000000 Калининградская область,16.2,1.0,57.5,141.19,82.19,463.4,483.8
41000000000 Ленинградская область,7727.9,4373.5,781.2,244.4,33.7,1182.8,382.41
47000000000 Мурманская область,0.0,56.0,2.0,500.29,4006.41,4440.14,4237.78
47401000000 Мурманск,,,,,,18.0,21.99
49000000000 Новгородская область,0.0,41.3,0.0,76.39,0.0,9826.05,10012.78
58000000000 Псковская область,72.29,68.79,231.1,235.39,390.7,345.79,588.47
40000000000 Город Санкт-Петербург город федерального значения,686.7,276.89,770.8,312.59,58.5,3275.0,37417.69
037 Южный федеральный округ (с 2010 года),6728.4,23627.3,13816.4,6880.6,,,
040 Южный федеральный округ (с 29.07.2016),,,,,16195.38,17382.68,28795.51
79000000000 Республика Адыгея (Адыгея),0.1,18.0,214.0,34.0,20.99,19.2,6.0
85000000000 Республика Калмыкия,0.0,0.2,0.5,0.5,,1.4,0.5
