,декабрь 2010 г.,декабрь 2011 г.,декабрь 2012 г.,март 2013 г.,июнь 2013 г.,сентябрь 2013 г.,декабрь 2013 г.
643 Российская Федерация,23646.49,39458.09,47967.59,11435.79,22197.19,33648.69,54073.19
030 Центральный федеральный округ,,,,8214.49,13918.7,21014.99,32689.09
14000000000 Белгородская область,,,,14.8,272.7,294.99,323.2
15000000000 Брянская область,,,,1.79,2.8,9.99,14.0
17000000000 Владимирская область,,,,31.19,28.9,44.89,140.39
20000000000 Воронежская область,,,,9.49,17.8,31.49,91.99
24000000000 Ивановская область,,,,1.3,4.3,16.39,33.99
29000000000 Калужская область,,,,7.9,17.2,28.2,42.4
34000000000 Костромская область,,,,0.4,0.6,1.49,2.19
38000000000 Курская область,,,,0.89,5.3,6.7,25.8
42000000000 Липецкая область,,,,18.7,98.4,125.09,152.5
46000000000 Московская область,,,,139.6,393.9,1244.49,1797.99
54000000000 Орловская область,,,,0.6,0.89,1.89,19.49
61000000000 Рязанская область,,,,22.9,38.49,68.69,155.6
66000000000 Смоленская область,,,,1.3,9.69,14.4,19.59
68000000000 Тамбовская область,,,,11.8,12.5,13.2,15.0
28000000000 Тверская область,,,,7.2,12.9,22.99,43.2
70000000000 Тульская область,,,,5.8,18.1,35.6,102.49
78000000000 Ярославская область,,,,23.29,69.8,82.1,494.39
45000000000 Город Москва столица Российской Федерации город федерального значения,,,,7915.39,12914.49,18972.39,29214.9
031 Северо-Западный федеральный округ,,,,870.7,1728.9,3428.7,6187.6
86000000000 Республика Карелия,,,,0.69,1.2,1.79,6.1
87000000000 Республика Коми,,,,50.8,135.8,300.1,357.69
11000000000 Архангельская область,,,,6.6,8.99,12.1,17.49
11100000000 Ненецкий автономный округ (Архангельская область),,,,,0.89,1.0,0.89
11001000000 Архангельская область (кроме Ненецкого автономного округа),,,,,,,16.59
19000000000 Вологодская область,,,,2.19,14.5,15.59,45.1
27000000000 Калининградская область,,,,5.3,10.19,51.0,88.19
41000000000 Ленинградская область,,,,11.2,63.6,111.09,159.5
47000000000 Мурманская область,,,,7.4,9.4,12.6,23.19
49000000000 Новгородская область,,,,1.2,2.4,5.8,13.6
58000000000 Псковская область,,,,4.49,5.2,6.6,9.1
40000000000 Город Санкт-Петербург город федерального значения,,,,780.7,1477.6,2912.3,5467.5
037 Южный федеральный округ (с 2010 года),,,,123.6,253.39,487.19,965.09
