,2017 г.,2018 г.,2019 г.
125589,4322.0,4705.0,
108678,17685.0,29261.0,25305.0
239798,,104382.0,68270.0
239757,,34870.0,11101.99
284376,,,4873.0
643 Российская Федерация,288674.0,381015.0,353924.0
030 Центральный федеральный округ,99655.0,76863.0,74657.0
14000000000 Белгородская область,9334.0,9526.0,9765.0
15000000000 Брянская область,62.99,64.99,80.0
17000000000 Владимирская область,86.0,315.99,425.0
20000000000 Воронежская область,1820.99,3280.0,7385.0
24000000000 Ивановская область,190.99,261.0,348.99
29000000000 Калужская область,11856.0,3776.0,7173.0
34000000000 Костромская область,735.0,757.99,716.99
38000000000 Курская область,303.0,327.0,335.99
42000000000 Липецкая область,139.99,102.0,32.0
46000000000 Московская область,52744.0,32901.0,16608.0
54000000000 Орловская область,263.99,507.0,519.99
61000000000 Рязанская область,169.99,69.99,105.0
66000000000 Смоленская область,90.0,106.0,90.99
68000000000 Тамбовская область,439.99,690.99,493.99
28000000000 Тверская область,61.0,146.99,341.99
70000000000 Тульская область,4186.0,3569.0,3860.0
78000000000 Ярославская область,628.99,773.99,712.99
45000000000 Город Москва столица Российской Федерации город федерального значения,16542.0,19687.0,25662.0
031 Северо-Западный федеральный округ,51817.0,40377.0,48098.0
86000000000 Республика Карелия,0.0,228.99,97.99
87000000000 Республика Коми,26608.0,7486.0,13245.0
11000000000 Архангельская область,32.99,43.0,195.99
11401000000 Архангельск,4.0,17.0,18.0
11430000000 Северодвинск,0.0,0.0,0.0
11100000000 Ненецкий автономный округ (Архангельская область),0.0,0.0,150.0
11111000000 Нарьян-Мар,0.0,0.0,150.0
11001000000 Архангельская область (кроме Ненецкого автономного округа),32.99,43.0,45.99
19000000000 Вологодская область,5596.0,5297.0,6129.0
27000000000 Калининградская область,405.0,1516.0,5110.0
41000000000 Ленинградская область,1854.0,2186.0,1855.99
47000000000 Мурманская область,3064.0,189.99,476.99
49000000000 Новгородская область,458.99,758.99,654.0
58000000000 Псковская область,3.0,3843.0,109.99
40000000000 Город Санкт-Петербург город федерального значения,13795.0,18828.0,20223.0
037 Южный федеральный округ (с 2010 года),,27513.0,24901.0
79000000000 Республика Адыгея (Адыгея),456.99,838.99,1008.0
85000000000 Республика Калмыкия,32.0,36.0,14.99
35000000000 Республика Крым,376.99,1706.0,404.0
03000000000 Краснодарский край,14696.0,21602.0,16763.0
12000000000 Астраханская область,52.0,32.0,1045.0
12401000000 Астрахань,,,159.0
18000000000 Волгоградская область,1473.0,2973.0,3503.0
60000000000 Ростовская область,598.0,2031.0,2567.0
67000000000 Город федерального значения Севастополь,0.0,41.99,0.0
