,2012 г.,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.
643 Российская Федерация,1227376.6,1293428.7,1296768.39,1770750.9,1017941.9,997070.19,1147179.26
030 Центральный федеральный округ,235936.7,284715.7,187750.9,261023.2,134276.67,200639.77,253282.96
14000000000 Белгородская область,3477.1,2563.0,1496.3,3215.1,334.22,385.74,1342.22
15000000000 Брянская область,290.8,5997.0,3018.5,933.89,427.7,709.8,446.1
17000000000 Владимирская область,8331.59,6878.6,14517.5,2583.0,5017.89,6883.27,6256.78
17401000000 Владимир,,,,,,2741.5,1483.7
20000000000 Воронежская область,726.6,6284.8,4516.6,5924.1,3163.93,9526.74,69000.99
20401000000 Воронеж,,,,,,4837.2,65489.3
24000000000 Ивановская область,982.19,10614.6,2463.69,3151.6,1506.7,17159.96,853.25
24401000000 Иваново,,,,,,14614.7,
29000000000 Калужская область,224.0,240.99,301.0,98.8,211.6,45.68,30.14
34000000000 Костромская область,2306.69,2159.5,6222.7,9272.79,12836.75,14550.07,39447.51
34401000000 Кострома,,,,,,13585.97,34617.29
38000000000 Курская область,15729.1,8074.1,1191.5,1230.8,5603.0,6030.08,906.02
38401000000 Курск,,,,,,5335.5,85.74
42000000000 Липецкая область,4339.1,8248.1,503.99,862.0,213.8,285.03,147.99
42401000000 Липецк,,,,,,0.0,0.0
46000000000 Московская область,62103.69,78662.5,81909.5,89982.9,58518.8,74664.74,31848.14
54000000000 Орловская область,6800.3,12586.4,1531.8,881.79,1622.22,1905.62,1161.71
57253557000 Орел,,,,,,1605.3,836.91
61000000000 Рязанская область,132.5,35207.7,6374.3,341.6,3159.2,3947.3,
66000000000 Смоленская область,394.8,566.89,1319.4,1075.3,270.6,2040.0,421.38
66401000000 Смоленск,,,,,,428.39,294.8
68000000000 Тамбовская область,2082.9,2336.6,3933.7,3575.2,4681.4,2353.65,28053.61
68401000000 Тамбов,,,,,,0.0,19176.02
28000000000 Тверская область,11121.7,6931.8,439.7,21350.3,4572.43,9551.98,5825.39
28401000000 Тверь,,,,,,582.63,1277.72
70000000000 Тульская область,3974.8,1240.9,3666.2,2862.0,9236.4,17087.59,13389.3
70401000000 Тула,,,,,,,0.0
