,2012 г.,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.
643 Российская Федерация,3485380.89,4766137.2,2790669.5,2523049.4,2573392.25,2560816.88,2138975.38
030 Центральный федеральный округ,537522.59,519800.49,705922.7,339071.5,431636.47,550745.46,424290.57
14000000000 Белгородская область,8824.0,6746.8,9251.2,10683.9,9280.29,9141.18,8917.59
14401000000 Белгород,,,,,,2556.24,2556.0
15000000000 Брянская область,6115.0,6728.4,8095.0,5084.2,4561.8,6427.8,4902.5
15401000000 Брянск,,,,,,,93.7
17000000000 Владимирская область,9756.2,9458.7,8794.5,6071.0,19807.74,14799.63,15593.75
17401000000 Владимир,,,,,,1472.7,3845.3
20000000000 Воронежская область,6589.1,12300.8,10638.0,9126.29,48360.15,22449.5,10549.61
20401000000 Воронеж,,,,,,15544.0,636.09
24000000000 Ивановская область,41804.1,11889.4,96741.3,13912.5,11452.12,11874.42,17624.36
24401000000 Иваново,,,,,,166.89,10280.4
29000000000 Калужская область,358.99,154.0,256.49,2788.4,3487.46,2432.4,2112.5
34000000000 Костромская область,945.7,5855.3,12722.7,10320.5,14773.73,19223.97,19186.74
34401000000 Кострома,,,,,,12645.43,13567.69
38000000000 Курская область,48542.6,55003.6,52343.9,31907.3,26290.16,25711.67,2051.94
38401000000 Курск,,,,,,23587.8,62.95
42000000000 Липецкая область,8737.6,33473.5,22294.6,11223.09,24920.07,4205.54,2070.6
42401000000 Липецк,,,,,,3802.04,1626.4
46000000000 Московская область,127945.6,104903.7,122404.0,108471.5,116524.36,146708.96,63535.5
54000000000 Орловская область,12240.0,6099.6,1986.09,4010.7,3067.49,1047.18,5469.51
57253557000 Орел,,,,,,224.19,3767.41
61000000000 Рязанская область,28436.7,3824.1,9856.2,7303.4,15786.1,14408.78,3560.01
61401000000 Рязань,,,,,,,1738.91
66000000000 Смоленская область,6009.5,7845.1,4616.9,3404.0,9258.5,17978.3,6343.82
66401000000 Смоленск,,,,,,428.29,294.8
68000000000 Тамбовская область,5407.0,12712.7,8163.5,7616.0,18441.3,52295.74,16780.73
68401000000 Тамбов,,,,,,18438.74,1798.23
28000000000 Тверская область,3140.3,3779.8,39885.0,21774.4,3917.49,5614.78,10191.35
28401000000 Тверь,,,,,,2598.15,9421.31
70000000000 Тульская область,19702.8,18506.2,16768.9,22966.6,38679.8,71838.63,100716.46
78000000000 Ярославская область,24866.4,4583.8,25024.4,7443.7,20441.9,4100.78,4285.7
78401000000 Ярославль,,,,,,3188.3,1671.7
45000000000 Город Москва столица Российской Федерации город федерального значения,178101.0,215935.0,256080.0,54964.0,42586.0,120486.19,130397.9
031 Северо-Западный федеральный округ,282942.59,2152372.5,396582.9,284542.59,371872.0,202130.31,251113.63
86000000000 Республика Карелия,15142.2,9195.4,11358.8,21068.4,22095.8,18545.8,21721.0
86401000000 Петрозаводск,,,,,,8092.0,13732.0
87000000000 Республика Коми,12579.1,14259.6,16020.2,9896.8,12161.23,14166.96,9023.62
87401000000 Сыктывкар,,,,,,3633.74,2350.2
11000000000 Архангельская область,18637.9,2402.6,3919.4,1970.0,5504.1,11757.0,1162.25
11401000000 Архангельск,,,,,,96.95,8.85
11100000000 Ненецкий автономный округ (Архангельская область),346.29,0.0,0.0,0.0,20.0,,
11001000000 Архангельская область (кроме Ненецкого автономного округа),,,3919.4,1970.0,5484.1,11757.0,1162.25
19000000000 Вологодская область,9187.1,8216.2,8574.5,3534.4,4188.9,4713.05,4030.1
27000000000 Калининградская область,16894.7,8468.5,10566.6,14552.5,13575.63,19288.34,23623.87
27401000000 Калининград,,,,,,846.99,335.88
41000000000 Ленинградская область,15159.7,36424.1,56880.2,55470.2,13659.5,56498.01,46874.96
47000000000 Мурманская область,4010.2,19111.09,97546.4,24969.3,67400.31,58923.27,96160.62
47401000000 Мурманск,,,,,,330.0,4074.6
49000000000 Новгородская область,109.99,1378.0,4044.9,967.29,437.4,373.08,423.4
58000000000 Псковская область,17604.7,6809.3,16833.5,10912.2,2813.83,2922.2,4873.81
40000000000 Город Санкт-Петербург город федерального значения,173617.0,2046107.69,170838.4,141201.5,230035.3,14942.6,43220.0
037 Южный федеральный округ (с 2010 года),576930.19,445935.6,279708.0,541309.19,,,
040 Южный федеральный округ (с 29.07.2016),,,,,408973.24,560585.5,319436.64
79000000000 Республика Адыгея (Адыгея),3710.0,736.9,4514.39,5426.6,777.79,846.2,8658.7
85000000000 Республика Калмыкия,108.7,57.6,2.9,556.09,819.1,371.79,365.7
85401000000 Элиста,,,,,,359.7,365.7
35000000000 Республика Крым,,,8186.4,2617.4,8712.17,8970.07,2889.26
03000000000 Краснодарский край,51789.8,69164.2,132593.9,71511.3,51236.67,53479.36,31607.6
03401000000 Краснодар,,,,,,22254.64,14367.26
12000000000 Астраханская область,16865.8,5988.1,5159.6,10487.4,850.71,440.36,1527.8
12401000000 Астрахань,,,,,,121.4,56.6
18000000000 Волгоградская область,38157.4,14811.8,9932.5,17272.4,13111.17,278059.13,18879.84
18401000000 Волгоград,,,,,,268736.14,2200.0
60000000000 Ростовская область,466298.5,355177.0,127504.7,436055.4,332677.62,218418.58,255507.73
60401000000 Ростов-на-Дону,,,,,,174132.8,156431.9
67000000000 Город федерального значения Севастополь,,,398.19,0.0,787.99,,
038 Северо-Кавказский федеральный округ,70091.89,82862.1,55715.5,65167.89,66630.9,71718.3,76228.91
82000000000 Республика Дагестан,4541.39,3128.4,2938.6,2695.2,903.99,512.99,537.0
26000000000 Республика Ингушетия*,11308.5,4962.0,2238.0,3385.3,4751.5,5445.6,4321.0
26401000000 Магас,,,,,,5445.6,4321.0
83000000000 Кабардино-Балкарская Республика,3696.2,7524.0,7318.1,14032.6,7784.5,8300.1,9238.44
91000000000 Карачаево-Черкесская Республика,3003.1,1084.3,1434.2,9096.7,1263.2,1250.09,1014.29
91401000000 Черкесск,,,,,,228.99,87.29
90000000000 Республика Северная Осетия-Алания,1568.69,3995.5,5210.3,2948.6,2870.0,3354.0,3551.7
90401000000 Владикавказ,,,,,,111.49,117.99
96000000000 Чеченская Республика*,50.0,2047.9,47.0,51.0,61.0,76.99,76.99
07000000000 Ставропольский край,45924.0,60120.0,36529.3,32958.5,48996.7,52778.5,57489.48
