City,Population,Region
г. Москва,12 678 079,гор.ф.з. Москва
г. Санкт-Петербург,5 398 064,гор.ф.з. Санкт-Петербург
г. Новосибирск,1 625 631,Новосибирская область
г. Екатеринбург,1 493 749,Свердловская область
г. Казань,1 257 391,Республика Татарстан
г. Нижний Новгород,1 252 236,Нижегородская область
г. Челябинск,1 196 680,Челябинская область
г. Самара,1 156 659,Самарская область
г. Омск,1 154 507,Омская область
г. Ростов-на-Дону,1 137 904,Ростовская область
г. Уфа,1 128 787,Респ. Башкортостан
г. Красноярск,1 093 771,Красноярский край
г. Воронеж,1 058 261,Воронежская область
г. Пермь,1 055 397,Пермский край
г. Волгоград,1 008 998,Волгоградская область
г. Краснодар,932 629,Краснодарский край
г. Саратов,838 042,Саратовская область
г. Тюмень,807 271,Тюменская обл. без ао
г. Тольятти,699 429,Самарская область
г. Ижевск,648 146,Удмуртская Республика
г. Барнаул,632 391,Алтайский край
г. Ульяновск,627 705,Ульяновская область
г. Иркутск,623 562,Иркутская область
г. Хабаровск,616 372,Хабаровский край
г. Ярославль,608 353,Ярославская область
г. Владивосток,606 561,Приморский край
г. Махачкала,603 518,Республика Дагестан
г. Томск,576 624,Томская область
г. Оренбург,572 188,Оренбургская область
г. Кемерово,556 382,Кемеровская область
г. Новокузнецк,549 403,Кемеровская область
г. Рязань,539 290,Рязанская область
г. Наб. Челны,533 839,Республика Татарстан
г. Астрахань,529 793,Астраханская область
г. Пенза,520 300,Пензенская область
г. Киров,518 348,Кировская область
г. Липецк,508 573,Липецкая область
г. Балашиха,507 366,Московская область
г. Чебоксары,497 618,Чувашская Республика
г. Калининград,489 359,Калининградская обл.
г. Тула,475 161,Тульская область
г. Курск,452 976,Курская область
г. Ставрополь,450 680,Ставропольский край
г. Севастополь,449 138,Город ф.з. Севастополь
г. Сочи,443 562,Краснодарский край
г. Улан-Удэ,439 128,Республика Бурятия
г. Тверь,425 072,Тверская область
г. Магнитогорск,413 253,Челябинская область
г. Иваново,404 598,Ивановская область
г. Брянск,402 675,Брянская область
г. Белгород,394 142,Белгородская область
г. Сургут,380 632,Ханты-Мансийский АО-Югра
г. Владимир,356 937,Владимирская область
г. Чита,351 784,Забайкальский край
г. Нижний Тагил,349 008,Свердловская область
г. Архангельск,346 979,Архангельская обл. без НАО
г. Симферополь,342 054,Республика Крым
г. Калуга,332 039,Калужская область
г. Смоленск,325 495,Смоленская область
г. Волжский,323 906,Волгоградская область
г. Якутск,322 987,Респ. Саха (Якутия)
г. Саранск,320 612,Республика Мордовия
г. Череповец,314 834,Вологодская область
г. Курган,312 364,Курганская область
г. Вологда,310 302,Вологодская область
г. Орёл,308 838,Орловская область
г. Подольск,308 130,Московская область
г. Грозный,305 911,Чеченская Республика
г. Владикавказ,303 597,Респ.Сев.Осетия-Алания
г. Тамбов,292 140,Тамбовская область
г. Мурманск,287 847,Мурманская область
г. Петрозаводск,281 023,Республика Карелия
г. Нижневартовск,277 668,Ханты-Мансийский АО-Югра
г. Кострома,276 929,Костромская область
г. Стерлитамак,276 394,Респ. Башкортостан
г. Новороссийск,274 956,Краснодарский край
г. Йошкар-Ола,274 715,Республика Марий Эл
г. Химки,259 550,Московская область
г. Таганрог,248 643,Ростовская область
г. Комсомольск-на-Амуре,244 768,Хабаровский край
г. Сыктывкар,244 403,Республика Коми
г. Нижнекамск,240 020,Республика Татарстан
г. Нальчик,239 583,Кабардино-Балкарская Респ.
г. Мытищи,235 504,Московская область
г. Шахты,230 262,Ростовская область
г. Дзержинск,229 000,Нижегородская область
г. Энгельс,227 049,Саратовская область
г. Орск,226 502,Оренбургская область
г. Благовещенск,226 385,Амурская область
г. Братск,226 269,Иркутская область
г. Королёв,225 858,Московская область
г. Великий Новгород,224 936,Новгородская область
г. Ангарск,224 630,Иркутская область
г. Старый Оскол,223 921,Белгородская область
г. Псков,210 340,Псковская область
г. Люберцы,205 295,Московская область
г. Южно-Сахалинск,200 636,Сахалинская область
г. Бийск,199 464,Алтайский край
г. Прокопьевск,190 334,Кемеровская область
г. Армавир,188 960,Краснодарский край
г. Балаково,187 523,Саратовская область
г. Абакан,186 797,Республика Хакасия
г. Рыбинск,184 635,Ярославская область
г. Северодвинск,181 990,Архангельская обл. без НАО
г. Норильск,181 830,Красноярский край
г. Петропавловск-Камчатский,179 586,Камчатский край
г. Красногорск,175 554,Московская область
г. Уссурийск,173 640,Приморский край
г. Волгодонск,171 406,Ростовская область
г. Новочеркасск,168 035,Ростовская область
г. Сызрань,167 160,Самарская область
г. Каменск - Уральский,166 086,Свердловская область
г. Златоуст,163 919,Челябинская область
г. Альметьевск,158 429,Республика Татарстан
г. Электросталь,156 026,Московская область
г. Керчь,151 548,Республика Крым
г. Миасс,151 472,Челябинская область
г. Салават,150 500,Респ. Башкортостан
г. Пятигорск,147 861,Ставропольский край
г. Копейск,147 634,Челябинская область
г. Находка,145 159,Приморский край
г. Хасавюрт,145 109,Республика Дагестан
г. Рубцовск,141 584,Алтайский край
г. Майкоп,141 475,Республика Адыгея
г. Коломна,140 129,Московская область
г. Березники,139 209,Пермский край
г. Домодедово,137 160,Московская область
г. Ковров,135 715,Владимирская область
г. Одинцово,135 506,Московская область
г. Нефтекамск,131 138,Респ. Башкортостан
г. Кисловодск,128 779,Ставропольский край
г. Батайск,127 919,Ростовская область
г. Нефтеюганск,127 255,Ханты-Мансийский АО-Югра
г. Новочебоксарск,127 226,Чувашская Республика
г. Серпухов,126 273,Московская область
г. Щёлково,126 109,Московская область
г. Дербент,125 832,Республика Дагестан
г. Каспийск,123 988,Республика Дагестан
г. Черкесск,123 168,Карачаево-Черкесская Респ.
г. Новомосковск,122 306,Тульская область
г. Назрань,122 261,Республика Ингушетия
г. Раменское,121 908,Московская область
г. Первоуральск,120 778,Свердловская область
г. Кызыл,119 438,Республика Тыва
г. Орехово-Зуево,118 309,Московская область
г. Новый Уренгой,118 033,Ямало-Ненецкий АО
г. Обнинск,117 419,Калужская область
г. Невинномысск,116 751,Ставропольский край
г. Долгопрудный,116 038,Московская область
г. Октябрьский,114 100,Респ. Башкортостан
г. Димитровград,113 472,Ульяновская область
г. Ессентуки,113 056,Ставропольский край
г. Камышин,109 910,Волгоградская область
г. Евпатория,108 248,Республика Крым
г. Реутов,108 054,Московская область
г. Пушкино,107 580,Московская область
г. Жуковский,107 560,Московская область
г. Муром,106 984,Владимирская область
г. Ноябрьск,106 911,Ямало-Ненецкий АО
г. Новошахтинск,106 534,Ростовская область
г. Северск,106 516,Томская область
г. Артем,105 675,Приморский край
г. Ачинск,105 531,Красноярский край
г. Бердск,104 334,Новосибирская область
г. Ногинск,103 967,Московская область
г. Арзамас,103 979,Нижегородская область
г. Элиста,103 122,Республика Калмыкия
г. Елец,102 313,Липецкая область
г. Ханты-Мансийск,101 466,Ханты-Мансийский АО-Югра
г. Новокуйбышевск,100 455,Самарская область
г. Железногорск,100 446,Курская область
г. Сергиев Посад,100 335,Московская область
г. Зеленодольск,100 039,Республика Татарстан
